rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
64,[2019-10-25][大陆][演员请就位][Actors.Being.In.Position.2019.E03.1080p.WEB-DL.H264.AAC-TJUPT][国语][无需..,https://bt.byr.cn/download.php?id=291672,[BYRBT].Actors.Being.In.Position.2019.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,2,2,20天2时,1.74GB,66,0,389,chenhao
65,[连载][玄机科技][斗罗大陆][Douro Mainland][75][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=291665,[BYRBT].Douro.Mainland.E75.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,20天4时,537.60MB,116,0,776,发布者匿名
66,[合集][BBC][水世界][Water Life][全26集][1080p][Blu-ray][M2TS][HDCLUB][自然],https://bt.byr.cn/download.php?id=291664,[BYRBT].Water.Life.2009.BluRay.3D.1080p.DTS-HD.5.1.H.264-HDCLUB.torrent,3,4,20天6时,171.01GB,34,0,165,发布者匿名
67,[欧美][十诫][Dekalog.1989.REPACK.720p.BluRay.AAC.1.0.x264-ZQ][全10集][MKV],https://bt.byr.cn/download.php?id=291609,[BYRBT].Dekalog.1989.REPACK.720p.BluRay.AAC.1.0.x264-ZQ.torrent,1,4,21天3时,53.88GB,128,4,485,NORMALX
68,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][88][1080p][WEB][MP4][2016-03-10][国产],https://bt.byr.cn/download.php?id=291608,[BYRBT].Tian.Xing.Jiu.Ge.E88.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,21天5时,443.23MB,106,0,620,发布者匿名
69,[合集][历史频道][宇宙][The Universe][S04][1080p][Blu-ray][M2TS][白自在][科学],https://bt.byr.cn/download.php?id=291579,[BYRBT].宇宙系列第4季.torrent,3,1,22天8时,118.57GB,53,1,268,发布者匿名
70,[Windows][办公软件][Mathtype][7.4.2.480][官方简体][安装包],https://bt.byr.cn/download.php?id=291563,[BYRBT].mathtype.zip.torrent,2,13,22天19时,40.78MB,293,0,1151,LeeyafeiNeuq
71,"[我们这样的人,天上掉下个姐姐,平凡人生(台)][People.Like.Us.2012.720p.BluRay.x264-O2STK][剧情][北美]",https://bt.byr.cn/download.php?id=291562,[BYRBT].People.Like.Us.2012.720p.BluRay.x264-O2STK.mkv.torrent,2,0,22天20时,10.03GB,65,0,306,hujingyu216
72,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][01-02][1080p][WEB][MP4][2019.10][国产],https://bt.byr.cn/download.php?id=291557,[BYRBT].Scissor.Seven.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,2,2,22天22时,654.18MB,81,7,355,kfbyhyq
73,"[诛仙 Ⅰ][Jade.Dynasty.2019.1080p.WEB-DL.H264.AAC-NM][爱情,奇幻,古装][华语]",https://bt.byr.cn/download.php?id=291516,[BYRBT].Jade.Dynasty.2019.1080p.WEB-DL.H264.AAC-NM.mp4.torrent,2,9,23天15时,3.61GB,159,0,977,发布者匿名
74,[PC][英雄联盟体验服][无限火力开启！！！][RPG][20191022][官方简体][安装包],https://bt.byr.cn/download.php?id=291483,[BYRBT].LOL_V3.4.5.9_T_FULL.torrent,2,18,24天3时,9.81GB,73,1,519,发布者匿名
75,[欧美][守望者 第一季][Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01E01][MKV],https://bt.byr.cn/download.php?id=291453,[BYRBT].Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.mkv.torrent,1,1,24天21时,3.72GB,110,0,563,发布者匿名
76,[欧美][守望者][Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.720p.AMZN.WEB-DL.DDP5.1.H.26..,https://bt.byr.cn/download.php?id=291448,[BYRBT].Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.720p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.mkv.torrent,1,1,25天0时,1.64GB,72,0,335,发布者匿名
77,[大陆][东宫][Princess in The East Palace UNCUT S01 1080p AMZN WEB-DL DDP2 0 H264-Ao][全55集][MKV],https://bt.byr.cn/download.php?id=291373,[BYRBT].东宫.Princess.in.The.East.Palace.UNCUT.S01.1080p.AMZN.WEB-DL.DDP2.0.H264-Ao.torrent,1,6,26天1时,127.99GB,50,6,222,发布者匿名
78,"[曲面,断崖][Curve.2016.1080p.WEB-DL.AAC.x264][惊悚,恐怖,短片][澳大利亚]",https://bt.byr.cn/download.php?id=291368,[BYRBT].Curve.2016.1080p.WEB-DL.AAC.x264.mp4.torrent,2,1,26天3时,250.07MB,107,0,569,Chrysoberyl
